current_na,time_ms,soma_mv,proximal_axon_mv,proximal_dendrite_mv
-0.02,32.99999999999894,-60.03479138489158,-60.02641121484471,-60.03528927011235
-0.02,33.099999999998964,-60.034787470653555,-60.02640710024395,-60.03528536793075
-0.02,33.19999999999899,-60.03478347524251,-60.026402905455406,-60.035281384516345
-0.02,33.29999999999901,-60.034779400496745,-60.02639863231773,-60.03527732170744
-0.02,33.39999999999903,-60.034775248229046,-60.02639428264395,-60.0352731813168
-0.02,33.499999999999055,-60.034771020226934,-60.026389858221755,-60.03526896513198
-0.02,33.59999999999908,-60.034766718253,-60.02638536081378,-60.03526467491556
-0.02,33.6999999999991,-60.034762344045134,-60.02638079215787,-60.03526031240544
-0.02,33.79999999999912,-60.03475789931682,-60.02637615396742,-60.03525587931514
-0.02,33.899999999999146,-60.03475338575743,-60.02637144793154,-60.03525137733403
-0.02,33.99999999999917,-60.03474880503247,-60.026366675715444,-60.035246808127646
-0.02,34.09999999999919,-60.034744158783845,-60.02636183896066,-60.03524217333794
-0.02,34.199999999999214,-60.034739448630155,-60.0263569392853,-60.03523747458355
-0.02,34.29999999999924,-60.03473467616694,-60.02635197828436,-60.03523271346007
-0.02,34.39999999999926,-60.03472984296696,-60.02634695752993,-60.03522789154028
-0.02,34.49999999999928,-60.03472495058042,-60.02634187857152,-60.03522301037445
-0.02,34.599999999999305,-60.034720000535245,-60.02633674293625,-60.035218071490576
-0.02,34.69999999999933,-60.03471499433736,-60.026331552129164,-60.035213076394626
-0.02,34.79999999999935,-60.0347099334709,-60.02632630763345,-60.035208026570814
-0.02,34.89999999999937,-60.034704819398485,-60.02632101091069,-60.03520292348182
-0.02,34.999999999999396,-60.03469965356146,-60.02631566340115,-60.03519776856907
-0.02,35.09999999999942,-60.034694437380146,-60.02631026652395,-60.035192563252956
-0.02,35.19999999999944,-60.034689172254055,-60.02630482167739,-60.03518730893309
-0.02,35.299999999999464,-60.03468385956218,-60.02629933023914,-60.035182006988535
-0.02,35.39999999999949,-60.03467850066318,-60.026293793566495,-60.035176658778056
-0.02,35.49999999999951,-60.034673096895666,-60.026288212996604,-60.035171265640344
-0.02,35.59999999999953,-60.03466764957838,-60.02628258984671,-60.03516582889424
-0.02,35.699999999999555,-60.03466216001046,-60.02627692541439,-60.035160349838996
-0.02,35.79999999999958,-60.034656629471684,-60.02627122097778,-60.03515482975448
-0.02,35.8999999999996,-60.03465105922264,-60.02626547779579,-60.03514926990141
-0.02,35.99999999999962,-60.03464545050501,-60.02625969710833,-60.03514367152157
-0.02,36.099999999999646,-60.034639804541754,-60.026253880136565,-60.035138035838024
-0.02,36.19999999999967,-60.03463412253734,-60.02624802808309,-60.035132364055386
-0.02,36.29999999999969,-60.03462840567798,-60.02624214213219,-60.03512665735996
-0.02,36.399999999999714,-60.034622655131805,-60.02623622345002,-60.03512091692002
-0.02,36.49999999999974,-60.03461687204911,-60.02623027318485,-60.03511514388599
-0.02,36.59999999999976,-60.034611057562564,-60.02622429246726,-60.03510933939067
-0.02,36.69999999999978,-60.034605212787405,-60.02621828241036,-60.03510350454943
-0.02,36.799999999999805,-60.03459933882165,-60.02621224410998,-60.03509764046043
-0.02,36.89999999999983,-60.03459343674631,-60.02620617864489,-60.03509174820481
-0.02,36.99999999999985,-60.03458750762559,-60.02620008707702,-60.035085828846924
-0.02,37.09999999999987,-60.03458155250706,-60.02619397045162,-60.0350798834345
-0.02,37.199999999999896,-60.034575572421915,-60.0261878297975,-60.03507391299887
-0.02,37.29999999999992,-60.03456956838511,-60.0261816661272,-60.035067918555136
-0.02,37.39999999999994,-60.03456354139559,-60.02617548043721,-60.0350619011024
-0.02,37.499999999999964,-60.034557492436484,-60.026169273708135,-60.03505586162395
-0.02,37.59999999999999,-60.03455142247525,-60.02616304690491,-60.03504980108741
-0.02,37.70000000000001,-60.03454533246395,-60.026156800977006,-60.03504372044499
-0.02,37.80000000000003,-60.03453922333934,-60.026150536858545,-60.03503762063361
-0.02,37.900000000000055,-60.03453309602313,-60.02614425546858,-60.03503150257516
-0.02,38.00000000000008,-60.03452695142213,-60.026137957711214,-60.0350253671766
-0.02,38.1000000000001,-60.03452079042844,-60.026131644475804,-60.0350192153302
-0.02,38.200000000000124,-60.03451461391962,-60.02612531663715,-60.035013047913715
-0.02,38.300000000000146,-60.0345084227589,-60.02611897505565,-60.035006865790514
-0.02,38.40000000000017,-60.0345022177953,-60.026112620577514,-60.03500066980983
-0.02,38.50000000000019,-60.03449599986387,-60.026106254034886,-60.034994460806864
-0.02,38.600000000000215,-60.03448976978581,-60.02609987624606,-60.034988239603
-0.02,38.70000000000024,-60.03448352836867,-60.026093488015654,-60.03498200700598
